4,Chicago
4,Boston
5,San Diego
23,Detroit
45,Seattle
12,Boston
15,Chicago
21,Detroit
27,Boston
27,Detroit
12,Chicago
31,Boston
38,Boston
14,San Diego
18,Chicago
26,San Diego
21,Seattle
31,Detroit
34,Seattle
34,Boston
39,Seattle
31,Chicago
23,Seattle
41,Detroit
39,San Diego
34,Boston
43,Boston
23,Seattle
44,Boston
45,Detroit
32,Seattle
47,San Diego
49,Boston
42,Seattle
54,Chicago
56,Detroit
58,San Diego
59,Boston
42,Detroit
76,Seattle
71,Detroit
41,Seattle
49,Detroit
54,San Diego
55,Boston
48,Detroit
52,Chicago
61,Detroit
53,Detroit
59,Detroit
62,Detroit
71,Seattle
68,Chicago
67,Chicago
63,Detroit
78,Seattle
72,Boston
81,Boston
92,Detroit
83,Boston
87,San Diego
62,Detroit
68,Boston
